personID:ID(Person),roadUser,gender,age,ageGroup,:LABEL
1929,Driver,Male,18,17_to_25,Person
1930,Motorcycle rider,Male,41,40_to_64,Person
1931,Motorcycle rider,Male,15,0_to_16,Person
1932,Pedal cyclist,Male,72,65_to_74,Person
1933,Driver,Female,19,17_to_25,Person
1934,Pedestrian,Female,75,75_or_older,Person
1935,Passenger,Female,21,17_to_25,Person
1936,Driver,Male,65,65_to_74,Person
1937,Motorcycle rider,Male,48,40_to_64,Person
1938,Passenger,Male,41,40_to_64,Person
1939,Driver,Male,24,17_to_25,Person
1940,Driver,Male,25,17_to_25,Person
1941,Pedal cyclist,Male,45,40_to_64,Person
1942,Driver,Male,25,17_to_25,Person
1943,Passenger,Male,24,17_to_25,Person
1944,Passenger,Female,29,26_to_39,Person
1945,Driver,Male,63,40_to_64,Person
1946,Driver,Male,21,17_to_25,Person
1947,Driver,Female,30,26_to_39,Person
1948,Driver,Male,48,40_to_64,Person
1949,Driver,Female,64,40_to_64,Person
1950,Driver,Female,25,17_to_25,Person
1951,Pedestrian,Female,79,75_or_older,Person
1952,Passenger,Female,4,0_to_16,Person
1953,Pedal cyclist,Male,83,75_or_older,Person
1954,Driver,Female,26,26_to_39,Person
1955,Driver,Male,68,65_to_74,Person
1956,Passenger,Male,40,40_to_64,Person
1957,Driver,Female,38,26_to_39,Person
1958,Passenger,Female,1,0_to_16,Person
1959,Driver,Male,35,26_to_39,Person
1960,Driver,Male,35,26_to_39,Person
1961,Driver,Female,58,40_to_64,Person
1962,Motorcycle rider,Male,59,40_to_64,Person
1963,Pedestrian,Female,64,40_to_64,Person
1964,Passenger,Male,9,0_to_16,Person
1965,Driver,Female,78,75_or_older,Person
1966,Driver,Male,75,75_or_older,Person
1967,Motorcycle rider,Male,65,65_to_74,Person
1968,Motorcycle rider,Male,56,40_to_64,Person
1969,Driver,Male,53,40_to_64,Person
1970,Passenger,Male,60,40_to_64,Person
1971,Passenger,Male,47,40_to_64,Person
1972,Passenger,Male,53,40_to_64,Person
1973,Passenger,Male,48,40_to_64,Person
1974,Motorcycle rider,Male,61,40_to_64,Person
1975,Driver,Male,20,17_to_25,Person
1976,Driver,Male,56,40_to_64,Person
1977,Pedal cyclist,Male,70,65_to_74,Person
1978,Pedestrian,Female,95,75_or_older,Person
1979,Driver,Female,80,75_or_older,Person
1980,Driver,Female,39,26_to_39,Person
1981,Driver,Male,63,40_to_64,Person
1982,Passenger,Female,35,26_to_39,Person
1983,Passenger,Male,79,75_or_older,Person
1984,Driver,Female,70,65_to_74,Person
1985,Driver,Female,70,65_to_74,Person
1986,Motorcycle rider,Male,54,40_to_64,Person
1987,Passenger,Male,29,26_to_39,Person
1988,Driver,Male,52,40_to_64,Person
1989,Driver,Male,19,17_to_25,Person
1990,Pedestrian,Male,40,40_to_64,Person
1991,Pedestrian,Female,25,17_to_25,Person
1992,Driver,Male,32,26_to_39,Person
1993,Driver,Male,19,17_to_25,Person
1994,Motorcycle pillion passenger,Female,35,26_to_39,Person
1995,Motorcycle rider,Male,64,40_to_64,Person
1996,Passenger,Female,98,75_or_older,Person
1997,Passenger,Female,80,75_or_older,Person
1998,Driver,Female,20,17_to_25,Person
1999,Driver,Female,83,75_or_older,Person
2000,Pedestrian,Male,77,75_or_older,Person
2001,Driver,Male,28,26_to_39,Person
2002,Motorcycle rider,Male,76,75_or_older,Person
2003,Driver,Male,47,40_to_64,Person
2004,Motorcycle rider,Female,57,40_to_64,Person
2005,Passenger,Male,24,17_to_25,Person
2006,Driver,Female,58,40_to_64,Person
2007,Driver,Male,23,17_to_25,Person
2008,Driver,Male,19,17_to_25,Person
2009,Passenger,Female,24,17_to_25,Person
2010,Passenger,Male,10,0_to_16,Person
2011,Driver,Male,39,26_to_39,Person
2012,Driver,Male,26,26_to_39,Person
2013,Pedestrian,Male,17,17_to_25,Person
2014,Driver,Female,44,40_to_64,Person
2015,Passenger,Male,6,0_to_16,Person
2016,Pedestrian,Male,78,75_or_older,Person
2017,Passenger,Female,96,75_or_older,Person
2018,Motorcycle rider,Male,52,40_to_64,Person
2019,Motorcycle rider,Male,34,26_to_39,Person
2020,Motorcycle rider,Male,19,17_to_25,Person
2021,Driver,Female,24,17_to_25,Person
2022,Motorcycle rider,Male,28,26_to_39,Person
2023,Motorcycle rider,Male,49,40_to_64,Person
2024,Driver,Male,30,26_to_39,Person
2025,Driver,Male,19,17_to_25,Person
2026,Passenger,Male,46,40_to_64,Person
2027,Passenger,Female,17,17_to_25,Person
2028,Motorcycle rider,Male,21,17_to_25,Person
2029,Pedestrian,Female,27,26_to_39,Person
2030,Passenger,Male,87,75_or_older,Person
2031,Pedestrian,Male,82,75_or_older,Person
2032,Passenger,Female,21,17_to_25,Person
2033,Driver,Male,38,26_to_39,Person
2034,Driver,Male,39,26_to_39,Person
2035,Pedestrian,Female,75,75_or_older,Person
2036,Motorcycle rider,Male,45,40_to_64,Person
2037,Driver,Male,48,40_to_64,Person
2038,Pedestrian,Male,73,65_to_74,Person
2039,Motorcycle rider,Male,25,17_to_25,Person
2040,Driver,Male,41,40_to_64,Person
2041,Pedestrian,Female,69,65_to_74,Person
2042,Pedestrian,Male,73,65_to_74,Person
2043,Driver,Male,25,17_to_25,Person
2044,Motorcycle rider,Male,39,26_to_39,Person
2045,Motorcycle rider,Male,68,65_to_74,Person
2046,Pedal cyclist,Male,55,40_to_64,Person
2047,Driver,Male,26,26_to_39,Person
2048,Pedestrian,Male,72,65_to_74,Person
2049,Driver,Female,22,17_to_25,Person
2050,Motorcycle rider,Male,33,26_to_39,Person
2051,Pedal cyclist,Male,29,26_to_39,Person
2052,Driver,Male,21,17_to_25,Person
2053,Driver,Female,59,40_to_64,Person
2054,Driver,Female,62,40_to_64,Person
2055,Pedestrian,Male,74,65_to_74,Person
2056,Pedestrian,Female,52,40_to_64,Person
2057,Pedestrian,Female,77,75_or_older,Person
2058,Pedestrian,Female,24,17_to_25,Person
2059,Driver,Male,84,75_or_older,Person
