:START_ID(Crash),:END_ID(SA4),:TYPE
289,Darling Downs - Maranoa,OCCURRED_IN_SA4
290,Sydney - Parramatta,OCCURRED_IN_SA4
291,Queensland - Outback,OCCURRED_IN_SA4
292,Melbourne - West,OCCURRED_IN_SA4
293,New England and North West,OCCURRED_IN_SA4
294,Richmond - Tweed,OCCURRED_IN_SA4
295,Richmond - Tweed,OCCURRED_IN_SA4
296,Melbourne - Outer East,OCCURRED_IN_SA4
297,Melbourne - Outer East,OCCURRED_IN_SA4
298,Sydney - Northern Beaches,OCCURRED_IN_SA4
299,Townsville,OCCURRED_IN_SA4
300,Central Queensland,OCCURRED_IN_SA4
301,Central Queensland,OCCURRED_IN_SA4
302,Shepparton,OCCURRED_IN_SA4
303,Melbourne - Outer East,OCCURRED_IN_SA4
304,Ballarat,OCCURRED_IN_SA4
305,Cairns,OCCURRED_IN_SA4
306,Queensland - Outback,OCCURRED_IN_SA4
307,Ipswich,OCCURRED_IN_SA4
308,Hobart,OCCURRED_IN_SA4
309,Sydney - Inner South West,OCCURRED_IN_SA4
310,Central West,OCCURRED_IN_SA4
311,Logan - Beaudesert,OCCURRED_IN_SA4
312,Illawarra,OCCURRED_IN_SA4
313,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
314,Murray,OCCURRED_IN_SA4
315,Darling Downs - Maranoa,OCCURRED_IN_SA4
316,Melbourne - South East,OCCURRED_IN_SA4
317,Melbourne - Inner East,OCCURRED_IN_SA4
318,Sunshine Coast,OCCURRED_IN_SA4
319,Central West,OCCURRED_IN_SA4
320,South Australia - Outback,OCCURRED_IN_SA4
321,New England and North West,OCCURRED_IN_SA4
322,Melbourne - West,OCCURRED_IN_SA4
323,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
324,Melbourne - North East,OCCURRED_IN_SA4
325,Sydney - Outer West and Blue Mountains,OCCURRED_IN_SA4
326,Adelaide - West,OCCURRED_IN_SA4
327,Launceston and North East,OCCURRED_IN_SA4
328,Mid North Coast,OCCURRED_IN_SA4
329,Ipswich,OCCURRED_IN_SA4
330,West and North West,OCCURRED_IN_SA4
331,Mornington Peninsula,OCCURRED_IN_SA4
332,New England and North West,OCCURRED_IN_SA4
333,New England and North West,OCCURRED_IN_SA4
334,Shepparton,OCCURRED_IN_SA4
335,Ballarat,OCCURRED_IN_SA4
336,Far West and Orana,OCCURRED_IN_SA4
337,Sunshine Coast,OCCURRED_IN_SA4
338,Melbourne - West,OCCURRED_IN_SA4
339,Gold Coast,OCCURRED_IN_SA4
340,Melbourne - North East,OCCURRED_IN_SA4
341,Ipswich,OCCURRED_IN_SA4
342,Geelong,OCCURRED_IN_SA4
343,Adelaide - Central and Hills,OCCURRED_IN_SA4
344,Melbourne - South East,OCCURRED_IN_SA4
345,Mackay - Isaac - Whitsunday,OCCURRED_IN_SA4
346,Hume,OCCURRED_IN_SA4
347,Wide Bay,OCCURRED_IN_SA4
348,Melbourne - West,OCCURRED_IN_SA4
349,Mackay - Isaac - Whitsunday,OCCURRED_IN_SA4
350,Adelaide - South,OCCURRED_IN_SA4
351,Melbourne - Inner South,OCCURRED_IN_SA4
352,Cairns,OCCURRED_IN_SA4
353,South Australia - Outback,OCCURRED_IN_SA4
354,Launceston and North East,OCCURRED_IN_SA4
355,Central Queensland,OCCURRED_IN_SA4
356,Hume,OCCURRED_IN_SA4
357,Melbourne - Inner,OCCURRED_IN_SA4
358,Sydney - Inner South West,OCCURRED_IN_SA4
359,Barossa - Yorke - Mid North,OCCURRED_IN_SA4
360,Melbourne - Inner,OCCURRED_IN_SA4
361,Melbourne - South East,OCCURRED_IN_SA4
362,South Australia - South East,OCCURRED_IN_SA4
363,Logan - Beaudesert,OCCURRED_IN_SA4
364,Mornington Peninsula,OCCURRED_IN_SA4
365,Cairns,OCCURRED_IN_SA4
366,Ipswich,OCCURRED_IN_SA4
367,Central Queensland,OCCURRED_IN_SA4
368,South Australia - South East,OCCURRED_IN_SA4
369,Central Queensland,OCCURRED_IN_SA4
370,Barossa - Yorke - Mid North,OCCURRED_IN_SA4
371,Mackay - Isaac - Whitsunday,OCCURRED_IN_SA4
372,West and North West,OCCURRED_IN_SA4
373,Shepparton,OCCURRED_IN_SA4
374,Logan - Beaudesert,OCCURRED_IN_SA4
375,Illawarra,OCCURRED_IN_SA4
376,Northern Territory - Outback,OCCURRED_IN_SA4
377,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
378,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
379,Sydney - Parramatta,OCCURRED_IN_SA4
380,New England and North West,OCCURRED_IN_SA4
381,Hobart,OCCURRED_IN_SA4
382,Central West,OCCURRED_IN_SA4
383,Central West,OCCURRED_IN_SA4
384,Adelaide - Central and Hills,OCCURRED_IN_SA4
385,Gold Coast,OCCURRED_IN_SA4
386,Latrobe - Gippsland,OCCURRED_IN_SA4
387,Central West,OCCURRED_IN_SA4
388,Geelong,OCCURRED_IN_SA4
389,New England and North West,OCCURRED_IN_SA4
390,Darwin,OCCURRED_IN_SA4
391,New England and North West,OCCURRED_IN_SA4
392,Townsville,OCCURRED_IN_SA4
393,Launceston and North East,OCCURRED_IN_SA4
394,North West,OCCURRED_IN_SA4
395,Logan - Beaudesert,OCCURRED_IN_SA4
396,Wide Bay,OCCURRED_IN_SA4
397,North West,OCCURRED_IN_SA4
398,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
399,Sydney - North Sydney and Hornsby,OCCURRED_IN_SA4
400,Capital Region,OCCURRED_IN_SA4
401,Hobart,OCCURRED_IN_SA4
402,Southern Highlands and Shoalhaven,OCCURRED_IN_SA4
403,Bendigo,OCCURRED_IN_SA4
404,Latrobe - Gippsland,OCCURRED_IN_SA4
405,Warrnambool and South West,OCCURRED_IN_SA4
406,Melbourne - South East,OCCURRED_IN_SA4
407,Capital Region,OCCURRED_IN_SA4
408,Logan - Beaudesert,OCCURRED_IN_SA4
409,Murray,OCCURRED_IN_SA4
410,Far West and Orana,OCCURRED_IN_SA4
411,Sunshine Coast,OCCURRED_IN_SA4
412,Queensland - Outback,OCCURRED_IN_SA4
413,Central West,OCCURRED_IN_SA4
414,Brisbane - South,OCCURRED_IN_SA4
415,Mackay - Isaac - Whitsunday,OCCURRED_IN_SA4
416,Gold Coast,OCCURRED_IN_SA4
417,Adelaide - North,OCCURRED_IN_SA4
418,Coffs Harbour - Grafton,OCCURRED_IN_SA4
419,Shepparton,OCCURRED_IN_SA4
420,Wide Bay,OCCURRED_IN_SA4
421,Brisbane - North,OCCURRED_IN_SA4
422,South Australia - South East,OCCURRED_IN_SA4
423,Moreton Bay - South,OCCURRED_IN_SA4
424,South Australia - South East,OCCURRED_IN_SA4
425,Riverina,OCCURRED_IN_SA4
426,Warrnambool and South West,OCCURRED_IN_SA4
427,Melbourne - Inner,OCCURRED_IN_SA4
428,Toowoomba,OCCURRED_IN_SA4
429,Mid North Coast,OCCURRED_IN_SA4
430,Melbourne - North East,OCCURRED_IN_SA4
431,Darwin,OCCURRED_IN_SA4
432,Sunshine Coast,OCCURRED_IN_SA4
433,New England and North West,OCCURRED_IN_SA4
434,New England and North West,OCCURRED_IN_SA4
435,Southern Highlands and Shoalhaven,OCCURRED_IN_SA4
436,Melbourne - South East,OCCURRED_IN_SA4
437,Melbourne - Inner East,OCCURRED_IN_SA4
438,Wide Bay,OCCURRED_IN_SA4
439,Geelong,OCCURRED_IN_SA4
440,Cairns,OCCURRED_IN_SA4
441,Melbourne - West,OCCURRED_IN_SA4
442,Central Coast,OCCURRED_IN_SA4
443,Melbourne - North East,OCCURRED_IN_SA4
444,Darling Downs - Maranoa,OCCURRED_IN_SA4
445,New England and North West,OCCURRED_IN_SA4
446,Brisbane - South,OCCURRED_IN_SA4
447,Capital Region,OCCURRED_IN_SA4
448,Capital Region,OCCURRED_IN_SA4
449,Hume,OCCURRED_IN_SA4
450,Sydney - Northern Beaches,OCCURRED_IN_SA4
451,Warrnambool and South West,OCCURRED_IN_SA4
452,Shepparton,OCCURRED_IN_SA4
453,Melbourne - West,OCCURRED_IN_SA4
454,Shepparton,OCCURRED_IN_SA4
455,Moreton Bay - North,OCCURRED_IN_SA4
456,Darling Downs - Maranoa,OCCURRED_IN_SA4
457,Melbourne - North West,OCCURRED_IN_SA4
458,Adelaide - South,OCCURRED_IN_SA4
459,Sydney - Inner West,OCCURRED_IN_SA4
460,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
461,Central Coast,OCCURRED_IN_SA4
462,Melbourne - South East,OCCURRED_IN_SA4
463,Melbourne - South East,OCCURRED_IN_SA4
464,Brisbane Inner City,OCCURRED_IN_SA4
465,Brisbane - South,OCCURRED_IN_SA4
466,Adelaide - North,OCCURRED_IN_SA4
467,Far West and Orana,OCCURRED_IN_SA4
468,South Australia - Outback,OCCURRED_IN_SA4
469,Darling Downs - Maranoa,OCCURRED_IN_SA4
470,Melbourne - Outer East,OCCURRED_IN_SA4
471,Central Queensland,OCCURRED_IN_SA4
472,Melbourne - Inner,OCCURRED_IN_SA4
473,South Australia - Outback,OCCURRED_IN_SA4
474,Hunter Valley exc Newcastle,OCCURRED_IN_SA4
475,Southern Highlands and Shoalhaven,OCCURRED_IN_SA4
476,Far West and Orana,OCCURRED_IN_SA4
477,Coffs Harbour - Grafton,OCCURRED_IN_SA4
478,Queensland - Outback,OCCURRED_IN_SA4
479,Central Queensland,OCCURRED_IN_SA4
480,Sunshine Coast,OCCURRED_IN_SA4
481,Queensland - Outback,OCCURRED_IN_SA4
482,Queensland - Outback,OCCURRED_IN_SA4
483,Brisbane Inner City,OCCURRED_IN_SA4
484,Melbourne - Inner South,OCCURRED_IN_SA4
485,Darling Downs - Maranoa,OCCURRED_IN_SA4
486,Sydney - Inner South West,OCCURRED_IN_SA4
487,Melbourne - Outer East,OCCURRED_IN_SA4
488,Mackay - Isaac - Whitsunday,OCCURRED_IN_SA4
489,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
490,Richmond - Tweed,OCCURRED_IN_SA4
491,Darling Downs - Maranoa,OCCURRED_IN_SA4
492,Melbourne - West,OCCURRED_IN_SA4
493,South Australia - Outback,OCCURRED_IN_SA4
494,Adelaide - South,OCCURRED_IN_SA4
495,Melbourne - North East,OCCURRED_IN_SA4
496,South Australia - Outback,OCCURRED_IN_SA4
497,Logan - Beaudesert,OCCURRED_IN_SA4
498,Sydney - Blacktown,OCCURRED_IN_SA4
499,Sydney - Blacktown,OCCURRED_IN_SA4
500,Far West and Orana,OCCURRED_IN_SA4
501,Moreton Bay - North,OCCURRED_IN_SA4
502,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
503,Gold Coast,OCCURRED_IN_SA4
504,Gold Coast,OCCURRED_IN_SA4
505,Sydney - Northern Beaches,OCCURRED_IN_SA4
506,North West,OCCURRED_IN_SA4
507,Brisbane - North,OCCURRED_IN_SA4
508,Gold Coast,OCCURRED_IN_SA4
509,Sydney - North Sydney and Hornsby,OCCURRED_IN_SA4
510,Central Queensland,OCCURRED_IN_SA4
511,Coffs Harbour - Grafton,OCCURRED_IN_SA4
512,Australian Capital Territory,OCCURRED_IN_SA4
513,Adelaide - Central and Hills,OCCURRED_IN_SA4
514,Melbourne - Inner,OCCURRED_IN_SA4
515,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
516,Melbourne - South East,OCCURRED_IN_SA4
517,Hume,OCCURRED_IN_SA4
518,Townsville,OCCURRED_IN_SA4
519,Warrnambool and South West,OCCURRED_IN_SA4
520,Sydney - Parramatta,OCCURRED_IN_SA4
521,Sydney - Baulkham Hills and Hawkesbury,OCCURRED_IN_SA4
522,Sydney - South West,OCCURRED_IN_SA4
523,Melbourne - Inner South,OCCURRED_IN_SA4
524,Cairns,OCCURRED_IN_SA4
525,Richmond - Tweed,OCCURRED_IN_SA4
526,Darling Downs - Maranoa,OCCURRED_IN_SA4
527,Barossa - Yorke - Mid North,OCCURRED_IN_SA4
528,Sydney - Parramatta,OCCURRED_IN_SA4
529,Ballarat,OCCURRED_IN_SA4
530,Sydney - Sutherland,OCCURRED_IN_SA4
531,Central West,OCCURRED_IN_SA4
532,Mackay - Isaac - Whitsunday,OCCURRED_IN_SA4
533,Melbourne - North West,OCCURRED_IN_SA4
534,Newcastle and Lake Macquarie,OCCURRED_IN_SA4
535,Ipswich,OCCURRED_IN_SA4
536,Melbourne - Inner South,OCCURRED_IN_SA4
537,Melbourne - South East,OCCURRED_IN_SA4
538,South Australia - South East,OCCURRED_IN_SA4
539,Melbourne - South East,OCCURRED_IN_SA4
540,Ipswich,OCCURRED_IN_SA4
541,Wide Bay,OCCURRED_IN_SA4
542,Sunshine Coast,OCCURRED_IN_SA4
543,Central West,OCCURRED_IN_SA4
544,Melbourne - North East,OCCURRED_IN_SA4
545,North West,OCCURRED_IN_SA4
546,Bendigo,OCCURRED_IN_SA4
547,Sydney - Inner South West,OCCURRED_IN_SA4
548,Coffs Harbour - Grafton,OCCURRED_IN_SA4
549,Illawarra,OCCURRED_IN_SA4
550,Wide Bay,OCCURRED_IN_SA4
551,Latrobe - Gippsland,OCCURRED_IN_SA4
552,Moreton Bay - North,OCCURRED_IN_SA4
553,North West,OCCURRED_IN_SA4
